Please enter the number of space grid points desired: 100
***********************
Explicit Solutions
***********************
t= 10	 x= -15.6566	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -14.6465	 A1= 0	 solution1= 0	 error1= 0		 A2= 8.26134e-312	 solution2= 	-6.81528e-311	 error2= -7.64141e-311
t= 10	 x= -13.6364	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.44379e-292	 solution2= 	-1.19105e-291	 error2= -1.33543e-291
t= 10	 x= -12.6263	 A1= 0	 solution1= 0	 error1= 0		 A2= 6.13302e-274	 solution2= 	-5.05934e-273	 error2= -5.67264e-273
t= 10	 x= -11.6162	 A1= 0	 solution1= 0	 error1= 0		 A2= 6.33228e-256	 solution2= 	-5.2236e-255	 error2= -5.85683e-255
t= 10	 x= -10.6061	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.58914e-238	 solution2= 	-1.31087e-237	 error2= -1.46978e-237
t= 10	 x= -9.59596	 A1= 0	 solution1= 0	 error1= 0		 A2= 9.69345e-222	 solution2= 	-7.99577e-221	 error2= -8.96512e-221
t= 10	 x= -8.58586	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.43718e-205	 solution2= 	-1.18542e-204	 error2= -1.32914e-204
t= 10	 x= -7.57576	 A1= 0	 solution1= 0	 error1= 0		 A2= 5.17917e-190	 solution2= 	-4.27166e-189	 error2= -4.78957e-189
t= 10	 x= -6.56566	 A1= 0	 solution1= 0	 error1= 0		 A2= 4.53653e-175	 solution2= 	-3.74135e-174	 error2= -4.195e-174
t= 10	 x= -5.55556	 A1= 0	 solution1= 0	 error1= 0		 A2= 9.65838e-161	 solution2= 	-7.96464e-160	 error2= -8.93048e-160
t= 10	 x= -4.54545	 A1= 0	 solution1= 0	 error1= 0		 A2= 4.99804e-147	 solution2= 	-4.12106e-146	 error2= -4.62086e-146
t= 10	 x= -3.53535	 A1= 0	 solution1= 0	 error1= 0		 A2= 6.28654e-134	 solution2= 	-5.18266e-133	 error2= -5.81131e-133
t= 10	 x= -2.52525	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.92194e-121	 solution2= 	-1.58414e-120	 error2= -1.77633e-120
t= 10	 x= -1.51515	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.42818e-109	 solution2= 	-1.17686e-108	 error2= -1.31968e-108
t= 10	 x= -0.505051	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.57953e-98	 solution2= 	-2.12491e-97	 error2= -2.38287e-97
t= 10	 x= 0.505051	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.13244e-87	 solution2= 	-9.32468e-87	 error2= -1.04571e-86
t= 10	 x= 1.51515	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.20839e-77	 solution2= 	-9.94471e-77	 error2= -1.11531e-76
t= 10	 x= 2.52525	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.13409e-68	 solution2= 	-2.57752e-67	 error2= -2.89092e-67
